state_name,county_name,state_code,county_code,date,aqi,category
Washington,Adams,53,1,2021-01-01,13,Good
Washington,Adams,53,1,2021-01-02,5,Good
Washington,Adams,53,1,2021-01-03,6,Good
Washington,Adams,53,1,2021-01-04,5,Good
Washington,Adams,53,1,2021-01-05,5,Good
Washington,Adams,53,1,2021-01-06,5,Good
Washington,Adams,53,1,2021-01-07,15,Good
Washington,Adams,53,1,2021-01-08,11,Good
Washington,Adams,53,1,2021-01-09,20,Good
Washington,Adams,53,1,2021-01-10,14,Good
Washington,Adams,53,1,2021-01-11,10,Good
Washington,Adams,53,1,2021-01-13,5,Good
Washington,Adams,53,1,2021-01-14,11,Good
Washington,Adams,53,1,2021-01-15,20,Good
Washington,Adams,53,1,2021-01-16,22,Good
Washington,Adams,53,1,2021-01-17,32,Good
Washington,Adams,53,1,2021-01-18,21,Good
Washington,Adams,53,1,2021-01-19,26,Good
Washington,Adams,53,1,2021-01-20,23,Good
Washington,Adams,53,1,2021-01-21,25,Good
Washington,Adams,53,1,2021-01-22,12,Good
Washington,Adams,53,1,2021-01-23,18,Good
Washington,Adams,53,1,2021-01-24,25,Good
Washington,Adams,53,1,2021-01-25,29,Good
Washington,Adams,53,1,2021-01-26,21,Good
Washington,Adams,53,1,2021-01-27,5,Good
Washington,Adams,53,1,2021-01-28,11,Good
Washington,Adams,53,1,2021-01-29,31,Good
Washington,Adams,53,1,2021-01-30,13,Good
Washington,Adams,53,1,2021-01-31,3,Good
Washington,Adams,53,1,2021-02-01,4,Good
Washington,Adams,53,1,2021-02-02,4,Good
Washington,Adams,53,1,2021-02-03,7,Good
Washington,Adams,53,1,2021-02-04,8,Good
Washington,Adams,53,1,2021-02-05,3,Good
Washington,Adams,53,1,2021-02-06,4,Good
Washington,Adams,53,1,2021-02-07,5,Good
Washington,Adams,53,1,2021-02-08,8,Good
Washington,Adams,53,1,2021-02-09,10,Good
Washington,Adams,53,1,2021-02-10,13,Good
Washington,Adams,53,1,2021-02-11,13,Good
Washington,Adams,53,1,2021-02-12,9,Good
Washington,Adams,53,1,2021-02-13,8,Good
Washington,Adams,53,1,2021-02-14,14,Good
Washington,Adams,53,1,2021-02-15,16,Good
Washington,Adams,53,1,2021-02-16,27,Good
Washington,Adams,53,1,2021-02-17,23,Good
Washington,Adams,53,1,2021-02-18,15,Good
